sweep_id,radar_site,altitude_padding_m,horizontal_corridor_padding_km,reflectivity_max_dbz,max_gates_per_cluster,n_clusters,n_tracklets,n_consistent_tracklets,mean_tracklet_score,mean_balloon_like_score
SWEEP_075,KIWA,1500,10,5.0,25,803,10,10,1.2017,0.7206
SWEEP_076,KIWA,1500,10,10.0,5,463,10,10,1.1909,0.7424
SWEEP_077,KIWA,1500,10,10.0,10,589,10,10,1.1933,0.7375
SWEEP_078,KIWA,1500,10,10.0,25,700,10,10,1.1936,0.7334
SWEEP_079,KIWA,1500,10,20.0,5,457,10,10,1.1941,0.7524
SWEEP_080,KIWA,1500,10,20.0,10,583,10,10,1.1953,0.7482
SWEEP_081,KIWA,1500,10,20.0,25,694,10,10,1.1953,0.7482
SWEEP_082,KIWA,1500,20,5.0,5,1408,10,10,1.2155,0.7502
SWEEP_083,KIWA,1500,20,5.0,10,1653,10,10,1.2183,0.7408
SWEEP_084,KIWA,1500,20,5.0,25,1865,10,10,1.219,0.7466
SWEEP_085,KIWA,1500,20,10.0,5,1231,10,10,1.2108,0.7519
SWEEP_086,KIWA,1500,20,10.0,10,1462,10,10,1.2141,0.7522
SWEEP_087,KIWA,1500,20,10.0,25,1648,10,10,1.2177,0.7438
SWEEP_088,KIWA,1500,20,20.0,5,1196,10,10,1.2106,0.76
SWEEP_089,KIWA,1500,20,20.0,10,1413,10,10,1.2138,0.757
SWEEP_090,KIWA,1500,20,20.0,25,1607,10,10,1.2143,0.7556
SWEEP_091,KIWA,1500,40,5.0,5,2275,10,10,1.2157,0.7495
SWEEP_092,KIWA,1500,40,5.0,10,2720,10,10,1.2174,0.743
SWEEP_093,KIWA,1500,40,5.0,25,3037,10,10,1.2184,0.7452
SWEEP_094,KIWA,1500,40,10.0,5,2043,10,10,1.2108,0.7567
SWEEP_095,KIWA,1500,40,10.0,10,2471,10,10,1.2126,0.7512
SWEEP_096,KIWA,1500,40,10.0,25,2782,10,10,1.2198,0.7429
SWEEP_097,KIWA,1500,40,20.0,5,2001,10,10,1.2104,0.7613
SWEEP_098,KIWA,1500,40,20.0,10,2418,10,10,1.214,0.7559
SWEEP_099,KIWA,1500,40,20.0,25,2741,10,10,1.2145,0.7573
SWEEP_100,KIWA,1500,60,5.0,5,3213,10,10,1.2157,0.7495
SWEEP_101,KIWA,1500,60,5.0,10,3825,10,10,1.2174,0.743
SWEEP_102,KIWA,1500,60,5.0,25,4247,10,10,1.2184,0.7452
SWEEP_103,KIWA,1500,60,10.0,5,2867,10,10,1.2108,0.7567
SWEEP_104,KIWA,1500,60,10.0,10,3477,10,10,1.2126,0.7512
SWEEP_105,KIWA,1500,60,10.0,25,3918,10,10,1.2198,0.7429
SWEEP_106,KIWA,1500,60,20.0,5,2819,10,10,1.2104,0.7613
SWEEP_107,KIWA,1500,60,20.0,10,3402,10,10,1.214,0.7559
SWEEP_108,KIWA,1500,60,20.0,25,3857,10,10,1.2145,0.7573
SWEEP_109,KIWA,2000,10,5.0,5,630,10,10,1.1903,0.7392
SWEEP_110,KIWA,2000,10,5.0,10,793,10,10,1.1995,0.723
SWEEP_111,KIWA,2000,10,5.0,25,957,10,10,1.201,0.7229
SWEEP_112,KIWA,2000,10,10.0,5,559,10,10,1.1909,0.7424
SWEEP_113,KIWA,2000,10,10.0,10,719,10,10,1.1926,0.7297
SWEEP_114,KIWA,2000,10,10.0,25,848,10,10,1.1926,0.7297
SWEEP_115,KIWA,2000,10,20.0,5,555,10,10,1.1941,0.7526
SWEEP_116,KIWA,2000,10,20.0,10,714,10,10,1.1953,0.7482
SWEEP_117,KIWA,2000,10,20.0,25,845,10,10,1.1953,0.7482
SWEEP_118,KIWA,2000,20,5.0,5,1750,10,10,1.2155,0.7502
SWEEP_119,KIWA,2000,20,5.0,10,2051,10,10,1.2168,0.7509
SWEEP_120,KIWA,2000,20,5.0,25,2301,10,10,1.2188,0.75
SWEEP_121,KIWA,2000,20,10.0,5,1561,10,10,1.2108,0.7519
SWEEP_122,KIWA,2000,20,10.0,10,1861,10,10,1.2127,0.7491
SWEEP_123,KIWA,2000,20,10.0,25,2074,10,10,1.2176,0.7402
SWEEP_124,KIWA,2000,20,20.0,5,1524,10,10,1.2106,0.76
SWEEP_125,KIWA,2000,20,20.0,10,1806,10,10,1.2138,0.757
SWEEP_126,KIWA,2000,20,20.0,25,2024,10,10,1.2138,0.757
SWEEP_127,KIWA,2000,40,5.0,5,2809,10,10,1.2157,0.7495
SWEEP_128,KIWA,2000,40,5.0,10,3349,10,10,1.2163,0.7448
SWEEP_129,KIWA,2000,40,5.0,25,3721,10,10,1.2174,0.7519
SWEEP_130,KIWA,2000,40,10.0,5,2545,10,10,1.2108,0.7567
SWEEP_131,KIWA,2000,40,10.0,10,3088,10,10,1.2114,0.7565
SWEEP_132,KIWA,2000,40,10.0,25,3446,10,10,1.2198,0.7429
SWEEP_133,KIWA,2000,40,20.0,5,2499,10,10,1.2104,0.7613
SWEEP_134,KIWA,2000,40,20.0,10,3025,10,10,1.214,0.7559
SWEEP_135,KIWA,2000,40,20.0,25,3390,10,10,1.214,0.7559
SWEEP_136,KIWA,2000,60,5.0,5,4035,10,10,1.2157,0.7495
SWEEP_137,KIWA,2000,60,5.0,10,4774,10,10,1.2163,0.7448
SWEEP_138,KIWA,2000,60,5.0,25,5266,10,10,1.2174,0.7519
SWEEP_139,KIWA,2000,60,10.0,5,3638,10,10,1.2108,0.7567
SWEEP_140,KIWA,2000,60,10.0,10,4402,10,10,1.2114,0.7565
SWEEP_141,KIWA,2000,60,10.0,25,4911,10,10,1.2198,0.7429
SWEEP_142,KIWA,2000,60,20.0,5,3582,10,10,1.2104,0.7613
SWEEP_143,KIWA,2000,60,20.0,10,4314,10,10,1.214,0.7559
SWEEP_144,KIWA,2000,60,20.0,25,4833,10,10,1.214,0.7559
